CPU,Frequency (kHz),CoreMarks (iter/s),CoreMarks/MHz,Power (mW),Energy (J),ULPMark-CM (iter/mJ),Time (s)
1,300000,1113.842087,3.712806956666667,26.23741391429108,7.067201666003551,42.44961643632391,269.355878178
1,403200,1497.065751,3.712960691964286,28.620100650015104,5.7355788548102975,52.30509554382588,200.403867371
1,480000,1782.266449,3.713055102083333,29.176817382562916,4.911451054674515,61.081744816427005,168.334023217
1,576000,2138.717197,3.713050689236111,41.16006583612954,5.7739137962646785,51.95782455118731,140.27950828
1,652800,2423.850691,3.7130065732230397,41.402623644910605,5.124673376818911,58.54031621937669,123.776536984
1,748800,2780.223345,3.712905108173077,42.994623669691585,4.639567750638779,64.66119606911566,107.910416574
1,825600,3065.572598,3.7131451041666668,48.89075210296905,4.784756425014632,62.699116392133284,97.866287983
1,902400,3350.682422,3.7130789250886522,60.128270826999994,5.383826886808499,55.72244544769125,89.539027362
1,979200,3635.878853,3.71311157373366,66.3741828157439,5.476978449578024,54.7747271167579,82.516698771
1,1056000,3921.056071,3.7131212793560606,66.12251182456578,5.059358617818889,59.29605364273056,76.51491872
1,1132800,4206.216788,3.71311510240113,79.83869720353522,5.694696980446895,52.68059056172245,71.327528879
1,1228800,4562.598856,3.7130524544270833,78.54861690981542,5.165011677575771,58.08312134171336,65.7556031
1,1324800,4918.839154,3.7128918734903387,103.59525384223339,6.318640900493242,47.47856457178656,60.993536539
1,1420800,5275.189028,3.712830115427928,92.22174469703576,5.244960570365502,57.19776077918048,56.873360915
1,1516800,5631.476198,3.712734835179325,109.52258439764151,5.834881469181806,51.41492617879476,53.275600656
1,1612800,5988.143476,3.7128865798611113,107.93123727124,5.407609556819495,55.47737809984308,50.102358627
1,1689600,6273.001004,3.712713662405303,110.99533445763826,5.3085452084368425,56.51265802977652,47.826741857
1,1766400,6558.237146,3.712770123414855,141.84622676882222,6.489022784808186,46.23192273301101,45.746883316
4,825600,5142.533898,6.228844353197674,136.5484241702759,7.9678550891607065,37.65128715858718,58.351864092
4,902400,5610.517851,6.2173291788563825,170.05815508150945,9.095472424711081,32.98344340915635,53.484482531
4,979200,6103.143119,6.232785047998366,167.98867838283672,8.259778260643719,36.32058761546218,49.168660294
4,1056000,6581.689739,6.232660737689394,186.05740636111113,8.483472470055307,35.362877767203294,45.595994462
4,1209600,7515.03006,6.212822470238096,241.98697217920517,9.663473474631497,31.044737773385368,39.933858371
4,1286400,8013.462617,6.22937081545398,231.0111903595135,8.651459759634422,34.67622902203464,37.450392538
4,1363200,8478.40832,6.219489671361503,246.8509687892286,8.738024341453478,34.33270362692743,35.397974674
4,1459200,9090.08272,6.229497478070176,315.55573771759373,10.41900880902898,28.7935259004699,33.017966602
4,1536000,9548.362456,6.2163818072916674,310.61782646548386,9.763727838475138,30.725969113745073,31.433250144
4,1612800,10035.794333,6.222590732266865,326.6563522250345,9.769106545539866,30.709051907819195,29.906372489
4,1689600,10504.937321,6.217410819720644,354.54113338210715,10.129446457012696,29.616623304455853,28.570581812
4,1766400,11013.215859,6.2348368766983695,404.6341388144815,11.028001975463324,27.20347717269936,27.254254937
4,1843200,11425.089497,6.198507756618924,455.7780973114615,11.97437913798434,25.053491002999873,26.272388271
4,1920000,11912.325286,6.204336086458333,477.69047539036,12.03669857511794,24.923777739201256,25.197694313
4,1996800,12464.165524,6.2420700741185895,512.3227559413477,12.33863841287151,24.313865919520246,24.083721189
4,2092800,13029.315961,6.225781709193424,597.5279771123637,13.766393997634571,21.7921991809582,23.038911189
4,2169600,13455.931823,6.202033472990413,597.8578102172728,13.337677391066775,22.492671790137322,22.309112908
4,2246400,13987.318165,6.22654832843661,659.9647723119524,14.164321160827146,21.17997725367031,21.462238221
4,2323200,14479.463295,6.2325513494318185,686.9306976301,14.241982987995543,21.06448240058057,20.73277994
4,2400000,14946.938369,6.227890987083333,745.4221369946,14.971407377491179,20.03819630551475,20.08446843
4,2476800,15346.053507,6.195919536094961,840.7413555037368,16.44801121191628,18.239287177932827,19.563699471
4,2553600,15919.342001,6.234078164552005,883.6138120453334,16.663742256048433,18.00315891774605,18.858625826
4,2649600,16789.791807,6.336726980298914,1071.4563547649411,19.159804460046608,15.657779839328809,17.882020462
4,2803200,17393.320965,6.204809134203767,1236.7095796113529,21.34718336844221,14.053376261502185,17.261274369
